ticket_id,created_date,channel,subject,body,priority_actual,category_actual,handle_time_minutes,resolved_first_contact,csat_score
TKT-1001,2026-01-02,email,How long does a transfer take?,"If I request a transfer today, when will the money actually show up in my bank account? I've seen different timelines mentioned — 1 business day vs instant. Is there an option for instant transfer? Is there a fee for faster delivery?",Low,Product Question,9,True,4
TKT-1002,2026-04-16,phone,Unexpected charge on my account,"Hi, I just noticed a charge of $15.0 on my account that I don't recognize. The transaction shows up as 'TP Auto Deduct' but I don't remember authorizing this. Can you help me figure out what this is? My account is under emily.smith26@icloud.com. Thanks.",Medium,Billing & Payments,14,True,3
TKT-1003,2026-04-28,chat,Suspicious login attempt on my account,I received an email saying there was a login attempt from an unrecognized device in California. I did not attempt to log in at that time. I've already changed my password but I'm concerned my account may be compromised. Can you review recent activity and confirm my account is secure?,Critical,Account Access,42,True,3
TKT-1004,2026-01-15,phone,Need an invoice for last month,"Hello, could you please send me an invoice for March? Our accounting team needs it for expense reconciliation. Account email is david.smith69@outlook.com. Please send to sarah.miller71@gmail.com as well. We need it in PDF format if possible. Thank you.",Medium,Billing & Payments,17,False,4
TKT-1005,2025-12-29,phone,How do I request a pay advance?,"I just signed up and I'm trying to figure out how to request an advance on my upcoming paycheck. I see the option in the app but when I tap it, it says I'm not eligible. I've been at my job for 23 months and my employer is enrolled. What are the eligibility requirements?",Medium,Product Question,9,False,5
TKT-1006,2025-12-12,chat,Suspicious login attempt on my account,I received an email saying there was a login attempt from an unrecognized device in New York. I did not attempt to log in at that time. I've already changed my password but I'm concerned my account may be compromised. Can you review recent activity and confirm my account is secure?,High,Account Access,21,False,4
TKT-1007,2026-01-02,email,Is there a fee to use the service?,I was referred by a coworker but I want to make sure I understand the costs before I sign up. Is there a monthly fee? What does it cost to access my pay early? Are there any other hidden charges I should know about?,Low,Product Question,7,True,4
TKT-1008,2026-01-20,chat,My balance looks wrong,"Something seems off with my account balance. It's showing $1563.2 but based on my transactions I should have more than that. The last transaction I see is from December 29, 2025 but I know I had a deposit processed on November 05, 2025. Can you audit my account?",Medium,Billing & Payments,9,True,3
TKT-1009,2026-01-07,email,Requesting partial refund,"I was charged $99.0 for a service I only partially used. I signed up on April 14, 2026 and canceled on February 26, 2026, which means I used the service for only 2 days of the billing period. I'm requesting a pro-rated refund for the unused portion. Please let me know how to proceed.",Medium,Refund Request,19,True,4
TKT-1010,2026-02-01,email,How do I stop automatic deductions?,"I took an advance last month and it was automatically deducted from my paycheck, which I understood. But now it's happening again this pay period even though I didn't take another advance. I want to stop any automatic deductions and ideally cancel the service. Please help.",Medium,Cancellation Request,10,True,5
TKT-1011,2026-02-07,chat,Please close my account,I would like to permanently close my account and have all my personal data deleted. I no longer need this service. My account email is mike.miller9@icloud.com. Please confirm once the account is closed and my data has been removed.,High,Cancellation Request,29,True,2
TKT-1012,2026-04-14,email,Charged twice for the same transaction,"I was charged $500.0 twice on March 18, 2026. I only authorized one payment. My bank statement clearly shows two identical charges. I need one of these refunded immediately. Transaction IDs (if helpful): TXN887352 and TXN379786. Please process the refund ASAP.",Low,Refund Request,6,True,4
TKT-1013,2026-03-09,phone,Payment failed — please help,I tried to make a payment of $49.99 today but it failed. The error message said 'Insufficient funds' but my bank account shows plenty of money. I've tried twice and both times it failed. Is there a hold on my account? Please look into this ASAP.,High,Billing & Payments,31,False,3
TKT-1014,2026-03-19,web,Incorrect fee charged — requesting refund,"I was charged a $2.99 fee that I don't believe I should have been charged. When I signed up, I was told the first 13 months were fee-free. I'm only on month 1. Can you review and refund this fee?",Medium,Refund Request,16,False,3
TKT-1015,2026-01-01,email,Two-factor authentication not working,I enabled two-factor authentication last week and now I can't get in. I'm not receiving the SMS codes to my phone number ending in 6038. I've waited several minutes and tried multiple times. Is there an alternative way to verify my identity so I can get back in?,Low,Account Access,8,False,5
TKT-1016,2026-01-07,chat,Please close my account,I would like to permanently close my account and have all my personal data deleted. I no longer need this service. My account email is mike.davis22@icloud.com. Please confirm once the account is closed and my data has been removed.,High,Cancellation Request,34,True,4
TKT-1017,2025-12-22,phone,What documents do I need for onboarding?,"I'm in the process of setting up my account and it's asking me to verify my identity. What documents do you accept? Do I need a government-issued ID? Can I use a passport or does it need to be a driver's license? Also, is my information secure when I upload documents?",Medium,General Inquiry,14,False,4
TKT-1018,2025-11-17,email,App keeps crashing when I open it,The mobile app crashes every time I try to open it. This started after the update that pushed yesterday. I'm on iPhone 14 running iOS 17.0. I've already tried uninstalling and reinstalling but same issue. Is there a known issue with this version?,Medium,Technical Issue,17,True,3
TKT-1019,2025-12-29,email,SSO login broken since company update,"Since our company updated their SSO provider last week, I can no longer log in through the company portal. It redirects me to a blank screen. My colleagues are having the same issue. Our company admin is Acme Corp. Can you check if something on your end needs to be updated?",Low,Account Access,4,False,5
TKT-1020,2025-12-04,phone,Getting an error code when trying to transfer funds,"Every time I try to transfer money I get error code ERR-4510. This started happening about 5 days ago. I need to move funds for an urgent payment. I've tried different amounts ($50, $100, $500) and get the same error. My bank account is verified and in good standing.",Medium,Technical Issue,17,True,4
TKT-1021,2026-02-19,chat,Incorrect fee charged — requesting refund,"I was charged a $1.99 fee that I don't believe I should have been charged. When I signed up, I was told the first 5 months were fee-free. I'm only on month 3. Can you review and refund this fee?",High,Refund Request,28,True,4
TKT-1022,2026-02-12,phone,How do I request a pay advance?,"I just signed up and I'm trying to figure out how to request an advance on my upcoming paycheck. I see the option in the app but when I tap it, it says I'm not eligible. I've been at my job for 3 months and my employer is enrolled. What are the eligibility requirements?",Critical,Product Question,31,True,3
TKT-1023,2026-02-27,email,Transaction history not loading,"When I tap on 'Transaction History' in the app, it just shows a spinning loader and never loads. I've waited up to 5 minutes. This has been happening for 2 days. Everything else in the app works fine. I'm on Android 13.",Low,Technical Issue,4,True,4
TKT-1024,2025-12-13,chat,Question about the $1.99 fee on my statement,I see a $1.99 fee on my recent statement and I'm not sure what it's for. I don't recall seeing this fee before. Is this a new charge? Can you explain what this covers and whether I can avoid it? I've been a customer for 9 months.,High,Billing & Payments,30,True,3
TKT-1025,2026-02-08,email,How do I get started?,My company just rolled out your service and I received an email to sign up. I clicked the link but I'm not sure what to do next. Is there a guide or tutorial? What information do I need to get started? Do I need to connect my bank account right away?,Low,General Inquiry,10,True,5
TKT-1026,2026-03-05,email,Dashboard showing wrong data,"The analytics dashboard is showing November data when it should be showing current data. It looks like the data is about 3 weeks behind. We rely on this for payroll decisions so accurate, up-to-date data is critical. Please investigate.",Critical,Technical Issue,43,True,4
TKT-1027,2026-01-20,email,Is there a fee to use the service?,I was referred by a coworker but I want to make sure I understand the costs before I sign up. Is there a monthly fee? What does it cost to access my pay early? Are there any other hidden charges I should know about?,Medium,Product Question,17,True,3
TKT-1028,2026-03-26,email,Unexpected charge on my account,"Hi, I just noticed a charge of $24.99 on my account that I don't recognize. The transaction shows up as 'EarnPay Services' but I don't remember authorizing this. Can you help me figure out what this is? My account is under sarah.brown16@outlook.com. Thanks.",Critical,Billing & Payments,27,False,2
TKT-1029,2026-01-06,email,How long does a transfer take?,"If I request a transfer today, when will the money actually show up in my bank account? I've seen different timelines mentioned — 1 business day vs instant. Is there an option for instant transfer? Is there a fee for faster delivery?",Medium,Product Question,19,True,4
TKT-1030,2026-01-20,web,Two-factor authentication not working,I enabled two-factor authentication last week and now I can't get in. I'm not receiving the SMS codes to my phone number ending in 8491. I've waited several minutes and tried multiple times. Is there an alternative way to verify my identity so I can get back in?,High,Account Access,17,True,2
TKT-1031,2025-11-18,web,Data privacy request — please delete my data,I am submitting a formal request under the California Consumer Privacy Act (CCPA) to delete all personal data you hold about me. My account email is emily.jones45@yahoo.com. Please confirm receipt of this request and provide a timeline for deletion. I expect written confirmation once deletion is complete.,Critical,Compliance & Legal,48,True,2
TKT-1032,2025-11-03,phone,Wrong amount deducted from my paycheck,My advance deduction was for $500.0 but I only took an advance of $200.0. The math doesn't add up — it seems like I was charged a fee I wasn't told about. Can you provide a breakdown of the deduction and refund the difference?,High,Refund Request,32,True,4
TKT-1033,2025-11-28,phone,How do I get started?,My company just rolled out your service and I received an email to sign up. I clicked the link but I'm not sure what to do next. Is there a guide or tutorial? What information do I need to get started? Do I need to connect my bank account right away?,Low,General Inquiry,5,True,4
TKT-1034,2026-01-07,chat,Payment failed — please help,I tried to make a payment of $500.0 today but it failed. The error message said 'Insufficient funds' but my bank account shows plenty of money. I've tried twice and both times it failed. Is there a hold on my account? Please look into this ASAP.,Medium,Billing & Payments,12,False,5
TKT-1035,2026-04-30,chat,Need an invoice for last month,"Hello, could you please send me an invoice for January? Our accounting team needs it for expense reconciliation. Account email is john.garcia82@yahoo.com. Please send to david.williams71@outlook.com as well. We need it in PDF format if possible. Thank you.",Medium,Billing & Payments,8,True,4
TKT-1036,2025-12-08,chat,Dashboard showing wrong data,"The analytics dashboard is showing October data when it should be showing current data. It looks like the data is about 3 weeks behind. We rely on this for payroll decisions so accurate, up-to-date data is critical. Please investigate.",High,Technical Issue,16,True,4
TKT-1037,2026-04-20,email,Do you have a referral program?,A friend told me I can earn rewards for referring new users. How does the referral program work? Is there a limit to how many people I can refer? When do I receive my reward — right when they sign up or after they use the service?,Low,General Inquiry,10,True,4
TKT-1038,2026-01-25,phone,Request for data export (GDPR),I am exercising my right under GDPR Article 20 to data portability. Please provide a full export of all personal data you hold associated with my account. My account ID is ACC-31299. Please send the export to mike.miller23@gmail.com within the legally required 30-day window.,High,Compliance & Legal,28,False,4
TKT-1039,2025-12-22,phone,Can't log in to my account,I'm having trouble logging into my account. I've tried my usual password but it keeps saying 'Invalid credentials.' I haven't changed my password recently. I tried the 'Forgot password' link but I'm not getting the reset email. My account email is chris.smith29@outlook.com. Please help.,High,Account Access,29,True,4
TKT-1040,2026-04-23,web,Need to update my email address,"Hi, I recently changed jobs and need to update the email address on my account from jessica.jones99@gmail.com to david.garcia52@icloud.com. I still have access to the old email so I can verify through that. Could you walk me through the process or make the change for me?",High,Account Access,32,True,4
TKT-1041,2026-03-29,web,Unable to update my payment method,I've been trying to update my bank account for direct deposit but keep getting an error when I try to save the new account. I've tried three times now and it just says 'Unable to verify account.' My routing number and account number are definitely correct. Please help — I need this updated before my next paycheck.,Critical,Billing & Payments,41,True,1
TKT-1042,2026-04-05,web,Payroll integration stopped syncing,Our payroll integration with Workday stopped syncing employee data yesterday. We process payroll on Thursdays and none of our employees are showing updated hours. I checked the integration settings and everything looks correct on our end. This is urgent — payroll runs in 2 days.,High,Technical Issue,18,True,2
TKT-1043,2026-03-18,phone,Direct deposit didn't arrive,"My direct deposit was supposed to hit today (November 01, 2025) but it's not showing in my bank account. My employer processed payroll on March 10, 2026 so it should have cleared by now. This is urgent as I have bills due today. Can you look into what happened?",Low,Billing & Payments,9,True,5
TKT-1044,2026-04-09,email,SSO login broken since company update,"Since our company updated their SSO provider last week, I can no longer log in through the company portal. It redirects me to a blank screen. My colleagues are having the same issue. Our company admin is RetailCo. Can you check if something on your end needs to be updated?",Low,Account Access,10,True,5
TKT-1045,2026-04-28,email,Payroll integration stopped syncing,Our payroll integration with Workday stopped syncing employee data yesterday. We process payroll on Thursdays and none of our employees are showing updated hours. I checked the integration settings and everything looks correct on our end. This is urgent — payroll runs in 2 days.,High,Technical Issue,19,True,3
TKT-1046,2026-03-26,email,Can I use this if I'm paid biweekly?,My employer pays me every two weeks. Can I still use the early access feature between pay periods? Does the amount I can advance reset after each paycheck? I'm trying to understand how it works with a biweekly pay schedule.,High,Product Question,32,False,3
TKT-1047,2025-11-22,email,Forgot username / can't find my login,I think I signed up with either jessica.davis57@outlook.com or emily.davis85@yahoo.com but neither is working. I do have an account because I've used the service before — I can see charges on my bank statement. Can you look up what email is on file for me? I can verify with my last 4 of SSN or bank account.,Medium,Account Access,18,True,4
TKT-1048,2026-04-22,email,Unable to update my payment method,I've been trying to update my bank account for direct deposit but keep getting an error when I try to save the new account. I've tried three times now and it just says 'Unable to verify account.' My routing number and account number are definitely correct. Please help — I need this updated before my next paycheck.,Critical,Billing & Payments,37,True,4
TKT-1049,2026-02-25,chat,Suspicious login attempt on my account,I received an email saying there was a login attempt from an unrecognized device in Texas. I did not attempt to log in at that time. I've already changed my password but I'm concerned my account may be compromised. Can you review recent activity and confirm my account is secure?,High,Account Access,35,False,3
TKT-1050,2026-04-26,email,Mobile notification not working,I've stopped receiving push notifications on my phone. I checked my phone settings and notifications are enabled for the app. This is a problem because I rely on notifications for payment confirmations. Please help me re-enable these.,Medium,Technical Issue,20,False,5
TKT-1051,2025-11-13,chat,How do I stop automatic deductions?,"I took an advance last month and it was automatically deducted from my paycheck, which I understood. But now it's happening again this pay period even though I didn't take another advance. I want to stop any automatic deductions and ideally cancel the service. Please help.",Medium,Cancellation Request,9,True,4
TKT-1052,2026-01-21,web,Can I use this if I'm paid biweekly?,My employer pays me every two weeks. Can I still use the early access feature between pay periods? Does the amount I can advance reset after each paycheck? I'm trying to understand how it works with a biweekly pay schedule.,Critical,Product Question,53,False,1
TKT-1053,2026-03-02,chat,Getting an error code when trying to transfer funds,"Every time I try to transfer money I get error code ERR-3607. This started happening about 6 days ago. I need to move funds for an urgent payment. I've tried different amounts ($50, $100, $500) and get the same error. My bank account is verified and in good standing.",Critical,Technical Issue,40,False,3
TKT-1054,2026-01-13,email,Please close my account,I would like to permanently close my account and have all my personal data deleted. I no longer need this service. My account email is david.davis92@gmail.com. Please confirm once the account is closed and my data has been removed.,Medium,Cancellation Request,13,True,3
TKT-1055,2026-04-30,email,Direct deposit didn't arrive,"My direct deposit was supposed to hit today (April 27, 2026) but it's not showing in my bank account. My employer processed payroll on December 06, 2025 so it should have cleared by now. This is urgent as I have bills due today. Can you look into what happened?",Medium,Billing & Payments,14,True,3
TKT-1056,2026-03-30,web,Getting an error code when trying to transfer funds,"Every time I try to transfer money I get error code ERR-7381. This started happening about 7 days ago. I need to move funds for an urgent payment. I've tried different amounts ($50, $100, $500) and get the same error. My bank account is verified and in good standing.",Low,Technical Issue,4,False,4
TKT-1057,2026-02-08,web,Two-factor authentication not working,I enabled two-factor authentication last week and now I can't get in. I'm not receiving the SMS codes to my phone number ending in 5892. I've waited several minutes and tried multiple times. Is there an alternative way to verify my identity so I can get back in?,Low,Account Access,10,True,4
TKT-1058,2025-11-08,chat,Requesting partial refund,"I was charged $29.99 for a service I only partially used. I signed up on January 09, 2026 and canceled on February 20, 2026, which means I used the service for only 4 days of the billing period. I'm requesting a pro-rated refund for the unused portion. Please let me know how to proceed.",High,Refund Request,27,False,3
TKT-1059,2025-11-07,web,Is your service available in all states?,"I'm considering recommending your service to my employer. We have employees in California, Texas, and New York. Is your earned wage access product available in all three states? Are there any state-specific restrictions I should know about?",High,General Inquiry,33,False,4
